team,season,season_type_offense,shotgun,no_huddle,qb_dropback,qb_scramble,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety_offense,interception_offense,fumble_offense,fumble_lost_offense,fumble_forced_offense,fumble_not_forced_offense,fumble_out_of_bounds_offense,offense_snaps,rush_snaps_offense,pass_snaps_offense,total_off_points,total_def_points,win_offense,loss_offense,tie_offense,record_offense,win_pct,average_shotgun,average_no_huddle,average_qb_dropback,average_qb_scramble,average_total_off_yards,average_pass_attempts,average_complete_pass,average_incomplete_pass,average_passing_yards,average_air_yards,average_receiving_yards,average_yards_after_catch,average_rush_attempts,average_rushing_yards,average_tackled_for_loss,average_first_down_pass,average_first_down_rush,average_third_down_converted,average_third_down_failed,average_fourth_down_converted,average_fourth_down_failed,average_rush_touchdown,average_pass_touchdown,average_safety_offense,average_interception_offense,average_fumble_offense,average_fumble_lost_offense,average_fumble_forced_offense,average_fumble_not_forced_offense,average_fumble_out_of_bounds_offense,rush_pct_offense,pass_pct_offense,passing_air_yards,receiving_air_yards,receptions,receiving_touchdown,targets,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,season_type_defense,safety_defense,interception_defense,fumble_defense,fumble_lost_defense,fumble_forced_defense,fumble_not_forced_defense,fumble_out_of_bounds_defense,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,rush_snaps_defense,pass_snaps_defense,win_defense,loss_defense,tie_defense,record_defense,average_safety_defense,average_interception_defense,average_fumble_defense,average_fumble_lost_defense,average_fumble_forced_defense,average_fumble_not_forced_defense,average_fumble_out_of_bounds_defense,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,average_defensive_two_point_attempt,average_defensive_two_point_conv,average_defensive_extra_point_attempt,average_defensive_extra_point_conv,rush_pct_defense,pass_pct_defense
LAC,2014,REG,828.0,249.0,630.0,20.0,5663,556.0,380.0,176.0,4296.0,4901.0,4296.0,1927.0,398,1367.0,44.0,214.0,75.0,97.0,118.0,5.0,6.0,6.0,31.0,0.0,18.0,15.0,4.0,8.0,7.0,1.0,1009,395,610,330.0,12.0,9.0,7.0,0.0,'9-7-0,0.562,51.75,15.5625,39.375,1.25,353.9375,34.75,23.75,11.0,268.5,306.3125,268.5,120.4375,24.875,85.4375,2.75,13.375,4.6875,6.0625,7.375,0.3125,0.375,0.375,1.9375,0.0,1.125,0.9375,0.25,0.5,0.4375,0.0625,0.39,0.6,4901.0,4901.0,380.0,31.0,556.0,5.61,8.815,1.237,1.084,0.683,0.032,0.056,7.73,0.056,7.73,8.81,11.31,0.015,3.43,1334.0,68.0,0.05,9959.0,7.47,REG,1.0,7.0,23.0,12.0,17.0,6.0,0.0,606.0,215.0,169.0,26.0,52.0,3,0.0,0.0,0.0,0.0,990,437,550,9.0,7.0,0.0,'9-7-0,0.0625,0.4375,1.4375,0.75,1.0625,0.375,0.0,37.875,13.4375,10.5625,1.625,3.25,0.1875,0.0,0.0,0.0,0.0,0.44,0.56
LV,2014,REG,688.0,107.0,663.0,12.0,4696,613.0,365.0,248.0,3456.0,4949.0,3456.0,1544.0,337,1240.0,31.0,173.0,56.0,80.0,156.0,9.0,6.0,5.0,22.0,0.0,16.0,31.0,13.0,18.0,13.0,3.0,994,332,651,251.0,24.0,3.0,13.0,0.0,'3-13-0,0.188,43.0,6.6875,41.4375,0.75,293.5,38.3125,22.8125,15.5,216.0,309.3125,216.0,96.5,21.0625,77.5,1.9375,10.8125,3.5,5.0,9.75,0.5625,0.375,0.3125,1.375,0.0,1.0,1.9375,0.8125,1.125,0.8125,0.1875,0.33,0.65,4949.0,4949.0,365.0,22.0,613.0,4.72,8.073,0.934,1.0,0.595,0.026,0.036,5.64,0.036,5.64,8.07,9.47,0.015,3.68,1315.0,49.0,0.04,8152.0,6.2,REG,0.0,9.0,15.0,5.0,10.0,5.0,0.0,690.0,150.0,62.0,22.0,56.0,1,0.0,0.0,0.0,0.0,1042,463,561,3.0,13.0,0.0,'3-13-0,0.0,0.5625,0.9375,0.3125,0.625,0.3125,0.0,43.125,9.375,3.875,1.375,3.5,0.0625,0.0,0.0,0.0,0.0,0.44,0.54
MIA,2014,REG,948.0,63.0,647.0,7.0,5938,583.0,394.0,189.0,4066.0,4616.0,4064.0,1874.0,400,1872.0,45.0,226.0,99.0,80.0,120.0,7.0,12.0,13.0,27.0,0.0,12.0,23.0,10.0,18.0,5.0,3.0,1041,387,640,370.0,0.0,8.0,8.0,0.0,'8-8-0,0.5,59.25,3.9375,40.4375,0.4375,371.125,36.4375,24.625,11.8125,254.125,288.5,254.0,117.125,25.0,117.0,2.8125,14.125,6.1875,5.0,7.5,0.4375,0.75,0.8125,1.6875,0.0,0.75,1.4375,0.625,1.125,0.3125,0.1875,0.37,0.61,4616.0,4616.0,394.0,27.0,583.0,5.7,7.918,1.063,1.187,0.676,0.021,0.046,6.97,0.046,6.97,7.92,10.31,0.032,4.68,1377.0,67.0,0.05,10002.0,7.26,REG,3.0,14.0,22.0,12.0,14.0,8.0,1.0,721.0,125.0,46.0,39.0,73.0,3,0.0,0.0,0.0,0.0,1031,443,576,8.0,8.0,0.0,'8-8-0,0.1875,0.875,1.375,0.75,0.875,0.5,0.0625,45.0625,7.8125,2.875,2.4375,4.5625,0.1875,0.0,0.0,0.0,0.0,0.43,0.56
MIN,2014,REG,671.0,78.0,603.0,42.0,5370,499.0,322.0,177.0,3566.0,3943.0,3566.0,1836.0,415,1804.0,30.0,171.0,90.0,82.0,129.0,6.0,6.0,14.0,17.0,2.0,18.0,17.0,2.0,9.0,8.0,2.0,983,403,564,302.0,6.0,7.0,9.0,0.0,'7-9-0,0.438,41.9375,4.875,37.6875,2.625,335.625,31.1875,20.125,11.0625,222.875,246.4375,222.875,114.75,25.9375,112.75,1.875,10.6875,5.625,5.125,8.0625,0.375,0.375,0.875,1.0625,0.125,1.125,1.0625,0.125,0.5625,0.5,0.125,0.41,0.57,3943.0,3943.0,322.0,17.0,499.0,5.46,7.902,10.189,17.207,0.645,0.036,0.034,7.15,0.034,7.15,7.9,11.07,0.034,4.35,1236.0,48.0,0.04,8936.0,7.23,REG,0.0,13.0,14.0,6.0,9.0,5.0,2.0,701.0,143.0,28.0,41.0,89.0,3,0.0,0.0,0.0,0.0,1026,436,573,7.0,9.0,0.0,'7-9-0,0.0,0.8125,0.875,0.375,0.5625,0.3125,0.125,43.8125,8.9375,1.75,2.5625,5.5625,0.1875,0.0,0.0,0.0,0.0,0.42,0.56
NE,2014,REG,540.0,85.0,647.0,11.0,6018,600.0,392.0,208.0,4291.0,4869.0,4291.0,1981.0,438,1727.0,39.0,228.0,96.0,98.0,123.0,7.0,6.0,13.0,34.0,0.0,9.0,11.0,4.0,7.0,4.0,0.0,1074,419,636,440.0,12.0,15.0,4.0,0.0,'15-4-0,0.789,34.73684210526316,5.2105263157894735,41.526315789473685,0.6842105263157895,380.9473684210527,38.526315789473685,25.57894736842105,12.947368421052632,277.0,308.94736842105266,277.0,127.78947368421052,26.94736842105263,103.94736842105264,2.263157894736842,14.947368421052632,6.052631578947368,6.526315789473684,7.368421052631579,0.4736842105263157,0.3157894736842105,0.8947368421052632,2.3684210526315788,0.0,0.6842105263157895,0.7894736842105263,0.2631578947368421,0.5263157894736842,0.2631578947368421,0.0526315789473684,0.39,0.59,4869.0,4869.0,392.0,34.0,600.0,5.6,8.115,6.527,6.522,0.653,0.015,0.057,7.15,0.057,7.15,8.12,10.95,0.03,3.94,1430.0,81.0,0.06,10309.0,7.21,REG,0.0,16.0,20.0,9.0,15.0,5.0,0.0,640.0,190.0,60.0,40.0,79.0,2,0.0,0.0,0.0,0.0,1037,407,617,15.0,4.0,0.0,'15-4-0,0.0,1.105263157894737,1.105263157894737,0.4736842105263157,0.8421052631578947,0.2631578947368421,0.0526315789473684,39.73684210526316,11.36842105263158,3.263157894736842,2.263157894736842,4.842105263157895,0.1052631578947368,0.0,0.0,0.0,0.0,0.39,0.59
NO,2014,REG,602.0,90.0,698.0,15.0,6770,642.0,456.0,186.0,4952.0,5072.0,4952.0,2173.0,406,1818.0,33.0,258.0,101.0,98.0,105.0,8.0,7.0,16.0,33.0,0.0,17.0,21.0,13.0,18.0,3.0,2.0,1096,397,684,401.0,24.0,7.0,9.0,0.0,'7-9-0,0.438,37.625,5.625,43.625,0.9375,423.125,40.125,28.5,11.625,309.5,317.0,309.5,135.8125,25.375,113.625,2.0625,16.125,6.3125,6.125,6.5625,0.5,0.4375,1.0,2.0625,0.0,1.0625,1.3125,0.8125,1.125,0.1875,0.125,0.36,0.62,5072.0,5072.0,456.0,33.0,642.0,6.18,7.9,0.927,0.985,0.71,0.026,0.051,7.71,0.051,7.71,7.9,10.86,0.039,4.48,1504.0,82.0,0.05,11722.0,7.79,REG,2.0,12.0,15.0,5.0,11.0,4.0,2.0,681.0,142.0,22.0,34.0,67.0,0,0.0,0.0,0.0,0.0,1026,432,579,7.0,9.0,0.0,'7-9-0,0.125,0.75,0.9375,0.3125,0.6875,0.25,0.125,42.5625,8.875,1.375,2.125,4.1875,0.0,0.0,0.0,0.0,0.0,0.42,0.56
NYG,2014,REG,694.0,456.0,642.0,6.0,6073,593.0,383.0,210.0,4470.0,5023.0,4470.0,1981.0,449,1603.0,38.0,218.0,83.0,101.0,134.0,5.0,11.0,15.0,30.0,0.0,14.0,20.0,12.0,16.0,4.0,0.0,1086,441,636,389.0,18.0,6.0,10.0,0.0,'6-10-0,0.375,43.375,28.5,40.125,0.375,379.5625,37.0625,23.9375,13.125,279.375,313.9375,279.375,123.8125,28.0625,100.1875,2.375,13.625,5.1875,6.3125,8.375,0.3125,0.6875,0.9375,1.875,0.0,0.875,1.25,0.75,1.0,0.25,0.0,0.41,0.59,5023.0,5023.0,383.0,30.0,593.0,5.59,8.47,0.979,1.132,0.646,0.024,0.051,7.54,0.051,7.54,8.47,11.67,0.033,3.57,1425.0,75.0,0.05,10543.0,7.4,REG,0.0,17.0,25.0,11.0,16.0,9.0,1.0,605.0,215.0,156.0,47.0,92.0,1,0.0,0.0,0.0,0.0,1011,423,569,6.0,10.0,0.0,'6-10-0,0.0,1.0625,1.5625,0.6875,1.0,0.5625,0.0625,37.8125,13.4375,9.75,2.9375,5.75,0.0625,0.0,0.0,0.0,0.0,0.42,0.56
NYJ,2014,REG,818.0,105.0,591.0,46.0,5449,483.0,287.0,196.0,3206.0,4128.0,3206.0,1506.0,507,2243.0,48.0,154.0,112.0,91.0,143.0,9.0,7.0,12.0,16.0,1.0,15.0,23.0,8.0,15.0,8.0,6.0,1056,501,546,290.0,18.0,4.0,12.0,0.0,'4-12-0,0.25,51.125,6.5625,36.9375,2.875,340.5625,30.1875,17.9375,12.25,200.375,258.0,200.375,94.125,31.6875,140.1875,3.0,9.625,7.0,5.6875,8.9375,0.5625,0.4375,0.75,1.0,0.0625,0.9375,1.4375,0.5,0.9375,0.5,0.375,0.47,0.52,4128.0,4128.0,287.0,16.0,483.0,5.16,8.547,0.939,1.019,0.594,0.031,0.033,6.64,0.033,6.64,8.55,11.17,0.024,4.42,1277.0,44.0,0.03,8655.0,6.78,REG,1.0,6.0,19.0,8.0,8.0,11.0,1.0,566.0,244.0,134.0,45.0,96.0,0,0.0,0.0,0.0,0.0,976,377,579,4.0,12.0,0.0,'4-12-0,0.0625,0.375,1.1875,0.5,0.5,0.6875,0.0625,35.375,15.25,8.375,2.8125,6.0,0.0,0.0,0.0,0.0,0.0,0.39,0.59
PHI,2014,REG,1017.0,709.0,672.0,21.0,6573,600.0,384.0,216.0,4581.0,5585.0,4581.0,2105.0,474,1992.0,52.0,218.0,109.0,103.0,134.0,7.0,4.0,19.0,27.0,0.0,21.0,22.0,14.0,14.0,8.0,1.0,1127,457,652,429.0,18.0,10.0,6.0,0.0,'10-6-0,0.625,63.5625,44.3125,42.0,1.3125,410.8125,37.5,24.0,13.5,286.3125,349.0625,286.3125,131.5625,29.625,124.5,3.25,13.625,6.8125,6.4375,8.375,0.4375,0.25,1.1875,1.6875,0.0,1.3125,1.375,0.875,0.875,0.5,0.0625,0.41,0.58,5585.0,5585.0,384.0,27.0,600.0,5.83,9.308,1.058,0.995,0.64,0.035,0.045,7.64,0.045,7.64,9.31,11.93,0.04,4.2,1458.0,73.0,0.05,11154.0,7.65,REG,0.0,12.0,30.0,17.0,24.0,6.0,0.0,759.0,129.0,40.0,49.0,77.0,4,0.0,0.0,0.0,0.0,1113,457,640,10.0,6.0,0.0,'10-6-0,0.0,0.75,1.875,1.0625,1.5,0.375,0.0,47.4375,8.0625,2.5,3.0625,4.8125,0.25,0.0,0.0,0.0,0.0,0.41,0.58
PIT,2014,REG,682.0,182.0,646.0,7.0,6749,602.0,411.0,191.0,4997.0,5230.0,5013.0,2297.0,423,1752.0,37.0,243.0,98.0,93.0,115.0,5.0,5.0,10.0,33.0,0.0,10.0,17.0,11.0,10.0,8.0,0.0,1071,405,639,399.0,6.0,11.0,6.0,0.0,'11-6-0,0.647,43.64705882352941,11.294117647058824,41.23529411764706,0.4705882352941176,421.9411764705882,38.11764705882353,26.11764705882353,12.0,314.88235294117646,334.5882352941176,315.8235294117647,142.35294117647058,26.0,107.05882352941175,2.294117647058824,15.176470588235292,6.0588235294117645,5.764705882352941,7.411764705882353,0.4117647058823529,0.3529411764705882,0.5882352941176471,2.0,0.0,0.7058823529411765,1.1176470588235294,0.7058823529411765,0.7058823529411765,0.4705882352941176,0.0,0.38,0.6,5230.0,5230.0,411.0,33.0,602.0,6.3,8.688,1.057,1.075,0.683,0.017,0.055,8.3,0.055,8.33,8.69,12.2,0.024,4.14,1436.0,76.0,0.05,11762.0,8.19,REG,1.0,11.0,18.0,10.0,11.0,7.0,0.0,588.0,190.0,75.0,33.0,81.0,4,0.0,0.0,0.0,0.0,945,360,575,11.0,6.0,0.0,'11-6-0,0.1176470588235294,0.6470588235294118,1.1764705882352942,0.6470588235294118,0.7058823529411765,0.4705882352941176,0.0,36.23529411764706,11.941176470588236,4.647058823529412,2.0,5.0,0.2352941176470588,0.0,0.0,0.0,0.0,0.38,0.61
SEA,2014,REG,742.0,28.0,547.0,52.0,6254,447.0,287.0,160.0,3492.0,3715.0,3492.0,1881.0,525,2762.0,41.0,160.0,144.0,90.0,122.0,3.0,8.0,22.0,20.0,1.0,7.0,25.0,8.0,13.0,13.0,1.0,1022,506,496,386.0,0.0,14.0,5.0,0.0,'14-5-0,0.737,45.89473684210526,1.947368421052632,33.526315789473685,3.0526315789473686,392.2631578947368,27.105263157894736,17.31578947368421,9.789473684210526,222.8947368421053,247.8421052631579,222.8947368421053,111.05263157894736,32.473684210526315,169.3684210526316,2.3157894736842106,10.0,8.789473684210526,5.684210526315789,7.526315789473684,0.2105263157894736,0.4210526315789473,1.3157894736842106,1.4210526315789471,0.0526315789473684,0.631578947368421,1.5789473684210529,0.4736842105263157,0.7894736842105263,0.8421052631578947,0.0526315789473684,0.5,0.49,3715.0,3715.0,287.0,20.0,447.0,6.12,8.311,5.423,7.328,0.642,0.016,0.045,7.81,0.045,7.81,8.31,12.17,0.042,5.26,1259.0,62.0,0.05,9746.0,7.74,REG,1.0,13.0,27.0,10.0,17.0,10.0,6.0,618.0,157.0,39.0,37.0,83.0,2,0.0,0.0,0.0,0.0,926,373,543,14.0,5.0,0.0,'14-5-0,0.0526315789473684,1.0,1.5789473684210529,0.5789473684210527,1.0,0.5789473684210527,0.4210526315789473,39.21052631578947,10.36842105263158,2.3684210526315788,2.1578947368421053,5.473684210526316,0.1578947368421052,0.0,0.0,0.0,0.0,0.4,0.59
SF,2014,REG,572.0,40.0,588.0,54.0,5583,477.0,292.0,185.0,3407.0,4737.0,3407.0,1393.0,470,2176.0,49.0,165.0,104.0,86.0,127.0,10.0,8.0,12.0,20.0,0.0,10.0,19.0,11.0,10.0,9.0,1.0,1009,455,539,302.0,12.0,8.0,8.0,0.0,'8-8-0,0.5,35.75,2.5,36.75,3.375,348.9375,29.8125,18.25,11.5625,212.9375,296.0625,212.9375,87.0625,29.375,136.0,3.0625,10.3125,6.5,5.375,7.9375,0.625,0.5,0.75,1.25,0.0,0.625,1.1875,0.6875,0.625,0.5625,0.0625,0.45,0.53,4737.0,4737.0,292.0,20.0,477.0,5.53,9.931,4.858,6.115,0.612,0.021,0.042,7.14,0.042,7.14,9.93,11.67,0.026,4.63,1239.0,52.0,0.04,8990.0,7.26,REG,0.0,23.0,16.0,7.0,11.0,6.0,0.0,669.0,123.0,63.0,36.0,79.0,3,0.0,0.0,0.0,0.0,989,390,584,8.0,8.0,0.0,'8-8-0,0.0,1.4375,1.0,0.4375,0.6875,0.375,0.0,41.8125,7.6875,3.9375,2.25,4.9375,0.1875,0.0,0.0,0.0,0.0,0.39,0.59
TB,2014,REG,571.0,57.0,603.0,31.0,4998,511.0,301.0,210.0,3623.0,5488.0,3623.0,1154.0,353,1375.0,41.0,162.0,72.0,76.0,127.0,4.0,8.0,8.0,21.0,2.0,20.0,29.0,12.0,19.0,10.0,2.0,936,352,578,267.0,12.0,2.0,14.0,0.0,'2-14-0,0.125,35.6875,3.5625,37.6875,1.9375,312.375,31.9375,18.8125,13.125,226.4375,343.0,226.4375,72.125,22.0625,85.9375,2.5625,10.125,4.5,4.75,7.9375,0.25,0.5,0.5,1.3125,0.125,1.25,1.8125,0.75,1.1875,0.625,0.125,0.38,0.62,5488.0,5488.0,301.0,21.0,511.0,5.34,10.74,0.966,0.931,0.589,0.039,0.041,7.09,0.041,7.09,10.74,12.04,0.023,3.9,1165.0,50.0,0.04,8621.0,7.4,REG,0.0,14.0,24.0,11.0,14.0,10.0,1.0,685.0,211.0,128.0,36.0,71.0,3,0.0,0.0,0.0,0.0,1070,453,597,2.0,14.0,0.0,'2-14-0,0.0,0.875,1.5,0.6875,0.875,0.625,0.0625,42.8125,13.1875,8.0,2.25,4.4375,0.1875,0.0,0.0,0.0,0.0,0.42,0.56
TEN,2014,REG,668.0,89.0,591.0,32.0,5185,497.0,299.0,198.0,3738.0,4701.0,3695.0,1628.0,357,1447.0,21.0,159.0,75.0,59.0,137.0,6.0,11.0,6.0,20.0,2.0,16.0,21.0,9.0,14.0,7.0,0.0,920,345,560,242.0,12.0,2.0,14.0,0.0,'2-14-0,0.125,41.75,5.5625,36.9375,2.0,324.0625,31.0625,18.6875,12.375,233.625,293.8125,230.9375,101.75,22.3125,90.4375,1.3125,9.9375,4.6875,3.6875,8.5625,0.375,0.6875,0.375,1.25,0.125,1.0,1.3125,0.5625,0.875,0.4375,0.0,0.38,0.61,4701.0,4701.0,299.0,20.0,497.0,5.64,9.459,0.983,0.948,0.602,0.032,0.04,7.52,0.04,7.43,9.46,12.36,0.017,4.05,1153.0,46.0,0.04,8880.0,7.7,REG,1.0,12.0,9.0,5.0,6.0,3.0,1.0,736.0,148.0,9.0,39.0,65.0,2,0.0,0.0,0.0,0.0,1100,493,584,2.0,14.0,0.0,'2-14-0,0.0625,0.75,0.5625,0.3125,0.375,0.1875,0.0625,46.0,9.25,0.5625,2.4375,4.0625,0.125,0.0,0.0,0.0,0.0,0.45,0.53
WAS,2014,REG,714.0,56.0,629.0,26.0,6152,529.0,364.0,165.0,4461.0,4223.0,4461.0,2543.0,402,1691.0,41.0,186.0,88.0,62.0,135.0,4.0,12.0,17.0,18.0,0.0,18.0,31.0,16.0,22.0,9.0,1.0,1007,396,605,317.0,24.0,4.0,12.0,0.0,'4-12-0,0.25,44.625,3.5,39.3125,1.625,384.5,33.0625,22.75,10.3125,278.8125,263.9375,278.8125,158.9375,25.125,105.6875,2.5625,11.625,5.5,3.875,8.4375,0.25,0.75,1.0625,1.125,0.0,1.125,1.9375,1.0,1.375,0.5625,0.0625,0.39,0.6,4223.0,4223.0,364.0,18.0,529.0,6.11,7.983,17.028,18.893,0.688,0.034,0.034,8.43,0.034,8.43,7.98,12.26,0.042,4.21,1295.0,53.0,0.04,10613.0,8.2,REG,0.0,7.0,26.0,9.0,15.0,11.0,2.0,607.0,190.0,95.0,36.0,74.0,0,0.0,0.0,0.0,0.0,978,413,556,4.0,12.0,0.0,'4-12-0,0.0,0.4375,1.625,0.5625,0.9375,0.6875,0.125,37.9375,11.875,5.9375,2.25,4.625,0.0,0.0,0.0,0.0,0.0,0.42,0.57
ARI,2015,REG,444.0,16.0,590.0,10.0,6692,549.0,353.0,196.0,4775.0,6084.0,4775.0,1782.0,452,1917.0,47.0,237.0,92.0,93.0,105.0,4.0,5.0,17.0,35.0,0.0,13.0,19.0,12.0,17.0,2.0,2.0,1041,422,583,450.0,6.0,14.0,4.0,0.0,'14-4-0,0.778,28.61111111111111,1.2777777777777777,37.66666666666666,0.5555555555555556,409.77777777777777,34.72222222222222,22.27777777777778,12.444444444444445,297.72222222222223,386.3888888888889,297.72222222222223,114.27777777777776,27.11111111111111,112.05555555555556,2.888888888888889,14.833333333333334,5.5,5.611111111111111,6.666666666666667,0.3888888888888889,0.2777777777777778,1.0,2.1666666666666665,0.0,1.0555555555555556,1.2222222222222223,0.7777777777777778,1.1111111111111112,0.1111111111111111,0.1111111111111111,0.41,0.56,6084.0,6084.0,353.0,35.0,549.0,6.43,11.082,1.251,0.935,0.643,0.024,0.064,8.7,0.064,8.7,11.08,13.53,0.038,4.24,1354.0,87.0,0.06,11467.0,8.47,REG,2.0,19.0,34.0,13.0,21.0,13.0,6.0,707.0,93.0,36.0,36.0,103.0,6,1.0,0.0,0.0,0.0,987,366,612,14.0,4.0,0.0,'14-4-0,0.1111111111111111,1.1666666666666667,1.9444444444444444,0.7777777777777778,1.1666666666666667,0.7777777777777778,0.3333333333333333,43.44444444444444,6.555555555555555,2.111111111111111,2.111111111111111,5.944444444444445,0.3333333333333333,0.0555555555555555,0.0,0.0,0.0,0.37,0.62
ATL,2015,REG,563.0,71.0,668.0,14.0,6208,604.0,410.0,194.0,4602.0,4788.0,4602.0,1856.0,421,1606.0,48.0,230.0,95.0,107.0,120.0,10.0,9.0,15.0,21.0,0.0,17.0,26.0,13.0,17.0,9.0,1.0,1076,407,655,328.0,6.0,8.0,8.0,0.0,'8-8-0,0.5,35.1875,4.4375,41.75,0.875,388.0,37.75,25.625,12.125,287.625,299.25,287.625,116.0,26.3125,100.375,3.0,14.375,5.9375,6.6875,7.5,0.625,0.5625,0.9375,1.3125,0.0,1.0625,1.625,0.8125,1.0625,0.5625,0.0625,0.38,0.61,4788.0,4788.0,410.0,21.0,604.0,5.77,7.927,5.204,8.162,0.679,0.028,0.035,7.62,0.035,7.62,7.93,11.22,0.036,3.81,1435.0,57.0,0.04,10810.0,7.53,REG,0.0,15.0,15.0,8.0,12.0,3.0,2.0,647.0,147.0,54.0,19.0,74.0,3,0.0,0.0,0.0,0.0,998,401,581,8.0,8.0,0.0,'8-8-0,0.0,0.9375,0.9375,0.5,0.75,0.1875,0.125,40.4375,9.1875,3.375,1.1875,4.625,0.1875,0.0,0.0,0.0,0.0,0.4,0.58
BAL,2015,REG,539.0,107.0,706.0,10.0,5927,655.0,426.0,229.0,4449.0,5083.0,4439.0,2128.0,384,1478.0,42.0,211.0,89.0,85.0,141.0,12.0,12.0,8.0,21.0,0.0,21.0,16.0,6.0,9.0,7.0,2.0,1087,382,697,309.0,30.0,5.0,11.0,0.0,'5-11-0,0.312,33.6875,6.6875,44.125,0.625,370.4375,40.9375,26.625,14.3125,278.0625,317.6875,277.4375,133.0,24.0,92.375,2.625,13.1875,5.5625,5.3125,8.8125,0.75,0.75,0.5,1.3125,0.0,1.3125,1.0,0.375,0.5625,0.4375,0.125,0.35,0.64,5083.0,5083.0,426.0,21.0,655.0,5.45,7.76,3.299,5.198,0.65,0.032,0.032,6.79,0.032,6.78,7.76,10.42,0.021,3.85,1465.0,50.0,0.03,10366.0,7.08,REG,0.0,6.0,14.0,9.0,8.0,7.0,2.0,635.0,159.0,22.0,37.0,90.0,2,1.0,0.0,0.0,0.0,1005,407,585,5.0,11.0,0.0,'5-11-0,0.0,0.375,0.875,0.5625,0.5,0.4375,0.125,39.6875,9.9375,1.375,2.3125,5.625,0.125,0.0625,0.0,0.0,0.0,0.4,0.58
BUF,2015,REG,839.0,58.0,559.0,56.0,6032,456.0,295.0,161.0,3600.0,4737.0,3600.0,1290.0,512,2432.0,58.0,155.0,122.0,86.0,141.0,7.0,9.0,19.0,23.0,0.0,9.0,26.0,9.0,20.0,7.0,4.0,1021,495,508,361.0,12.0,8.0,8.0,0.0,'8-8-0,0.5,52.4375,3.625,34.9375,3.5,377.0,28.5,18.4375,10.0625,225.0,296.0625,225.0,80.625,32.0,152.0,3.625,9.6875,7.625,5.375,8.8125,0.4375,0.5625,1.1875,1.4375,0.0,0.5625,1.625,0.5625,1.25,0.4375,0.25,0.48,0.5,4737.0,4737.0,295.0,23.0,456.0,5.91,10.388,1.193,0.923,0.647,0.02,0.05,7.89,0.05,7.89,10.39,12.2,0.037,4.75,1263.0,65.0,0.05,9632.0,7.63,REG,1.0,17.0,16.0,9.0,9.0,7.0,2.0,598.0,173.0,100.0,21.0,75.0,3,0.0,0.0,0.0,0.0,1022,376,626,8.0,8.0,0.0,'8-8-0,0.0625,1.0625,1.0,0.5625,0.5625,0.4375,0.125,37.375,10.8125,6.25,1.3125,4.6875,0.1875,0.0,0.0,0.0,0.0,0.37,0.61
CAR,2015,REG,793.0,227.0,559.0,28.0,6155,491.0,300.0,191.0,3873.0,5180.0,3873.0,1494.0,526,2282.0,44.0,197.0,136.0,86.0,117.0,6.0,4.0,21.0,35.0,1.0,10.0,14.0,10.0,9.0,5.0,0.0,1060,509,532,483.0,6.0,17.0,2.0,0.0,'17-2-0,0.895,50.73684210526316,15.421052631578949,34.89473684210526,1.631578947368421,385.7894736842105,30.526315789473685,18.57894736842105,11.947368421052632,243.8947368421053,321.89473684210526,243.47368421052636,94.63157894736842,33.21052631578947,141.89473684210526,2.8947368421052637,12.105263157894736,8.368421052631579,5.526315789473684,7.473684210526316,0.3157894736842105,0.2631578947368421,1.4210526315789471,2.0,0.0526315789473684,0.631578947368421,1.105263157894737,0.7368421052631579,0.7894736842105263,0.3157894736842105,0.0,0.48,0.5,5180.0,5180.0,300.0,35.0,491.0,5.81,10.55,1.135,1.027,0.611,0.02,0.071,7.89,0.071,7.89,10.55,12.91,0.04,4.34,1317.0,91.0,0.07,10028.0,7.61,REG,0.0,24.0,26.0,14.0,20.0,6.0,2.0,639.0,190.0,41.0,44.0,108.0,4,0.0,0.0,0.0,0.0,1062,363,691,17.0,2.0,0.0,'17-2-0,0.0,1.631578947368421,1.631578947368421,0.8947368421052632,1.263157894736842,0.3684210526315789,0.1052631578947368,39.0,12.052631578947368,2.473684210526316,3.0,7.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.34,0.65
